(-9.4042, 8.1768), (-9.5701, 5.2640), (-9.4542, 7.4365), (-9.9053, 6.0731), (-9.6951, 8.1166), (-8.1717, 5.3580), (-9.9880, 6.2660), (-8.1906, 8.9458), (-6.3245, 2.6735), (-9.9950, 3.5970), 
(-7.4730, 4.1000), (-8.9551, 3.6416), (-9.3225, 6.5181), (-7.3953, 3.8356), (-8.4086, 5.3462), (-7.4972, 6.1461), (-8.8198, 5.8368), (-8.0415, 3.7408), (-9.6552, 1.6981), (-7.6764, -2.5615), 
(-5.7554, 4.1296), (-7.2895, 0.9511), (-7.4130, 3.9795), (-8.5629, 0.1201), (-5.7324, -0.4454), (-7.1238, 1.9388), (-8.4914, 1.3794), (-5.6997, -5.6661), (-8.1025, -2.9640), (-8.4717, -2.4979), 
(-5.2005, -5.7654), (-4.9186, -0.7056), (-2.7690, 0.4856), (-6.1398, -6.6413), (-6.1907, 2.0332), (-4.8135, -1.7999), (-4.5582, -8.8557), (-2.6235, -6.2645), (-7.6358, -5.4974), (-4.6777, -7.2647), 
(-1.7473, -2.7254), (-5.5684, -0.8912), (-4.9876, 1.8606), (-2.6569, -1.7255), (-3.0375, 0.3099), (-5.8042, -4.5491), (-2.8731, -6.9252), (-5.2345, -6.9668), (-6.8325, -4.1311), (-8.0267, -6.4797), 
(-3.8937, 0.4240), (-1.6510, -1.0599), (-3.2462, -0.3777), (-2.6974, -3.9130), (1.0162, -4.2507), (-3.6434, -5.1444), (-3.0787, -3.9120), (-4.2154, -5.3542), (-7.4791, -8.6609), (-6.7458, -9.0765), 
(-4.4709, -2.5545), (-5.5805, -5.6126), (-4.7652, 1.4446), (-2.6885, -4.2069), (-1.6927, -3.2162), (-5.2831, -4.8603), (-6.3617, -5.2290), (-2.6121, -4.5799), (-6.3377, -2.7488), (-6.0549, -5.2107), 
(-3.3764, -5.9869), (-1.5895, -5.4835), (-2.2153, -4.5953), (-4.2632, 2.6392), (-0.7841, 2.7483), (-5.6896, -4.6945), (-2.2322, -4.9995), (-3.1289, -3.9623), (-3.6332, -5.7099), (-6.3245, -9.7116), 
(-4.5867, -1.5340), (-3.0607, -4.0389), (1.5473, 0.3235), (-3.3906, -4.3952), (-0.2978, -0.1609), (-0.6655, -2.8123), (-1.7181, -4.3709), (-6.1320, -6.0404), (-6.2246, -8.5476), (-4.4298, -8.4066), 
(4.3009, -1.3676), (4.1679, -1.1601), (3.5516, 0.0339), (4.0941, -2.7365), (4.0726, -5.3783), (2.7933, -3.9228), (1.5474, -6.1456), (-0.4897, -0.3688), (-0.5631, -2.9723), (-2.6673, -5.6023), 
(2.1164, -4.0327), (2.5190, -1.1040), (2.9904, 0.1564), (2.2200, -3.5289), (1.9093, -6.3245), (1.9950, -3.8902), (3.6328, -4.0140), (1.5561, -8.4183), (1.3655, -4.3654), (-2.1037, -8.6545), 
(0.7894, -3.3902), (1.4881, -1.9244), (1.7653, -4.7515), (1.5548, 3.4357), (1.8420, -0.2746), (2.8106, -1.0307), (1.3262, -1.3886), (0.3677, -6.4196), (-1.4666, -8.8152), (-2.7971, -9.9387), 
(0.8701, -5.4327), (1.5082, -0.6488), (0.6293, -1.8002), (1.2375, -0.8760), (0.3020, -3.0693), (0.9852, -6.6624), (-0.3458, -5.6093), (-3.5256, -3.8880), (-4.7759, -5.6574), (-4.2299, -9.9075), 
(-0.5200, -5.2328), (-0.7883, -2.6625), (0.6500, -3.9708), (0.2920, 1.5468), (0.3280, -5.1628), (-1.1954, -7.8706), (-2.1486, -4.3053), (-2.8952, -2.7701), (-3.0582, -4.1987), (-4.8114, -9.1192), 
(-0.8145, -3.0386), (-1.0858, -1.5706), (-0.4568, -0.5307), (-0.4949, -2.3555), (-0.1054, -0.8490), (-0.1767, -4.5461), (-1.1795, -3.4242), (-2.3610, -4.1484), (-3.8888, -3.8632), (-4.7237, -9.3018), 
(-1.7743, -3.0449), (-1.4022, -0.3102), (-1.0506, -4.0378), (-0.7481, -4.8479), (0.1329, -3.6856), (-0.6163, -4.3315), (-1.0757, -5.7601), (-2.4975, -5.5155), (-2.8037, -8.2087), (-5.3814, -7.8723), 
(-1.2102, -5.2419), (-0.3560, -2.2323), (-0.7680, -1.0594), (-0.8163, -0.9486), (0.5847, -1.0179), (0.0553, -2.8798), (-1.7238, 1.0097), (-1.2527, -4.6927), (-3.3021, -5.6718), (-4.7121, -8.1408), 

(2.1436, 6.4140), (3.0350, 6.2041), (2.5893, 5.4524), (3.2191, 7.1466), (1.6547, 5.8740), (3.1363, 8.4081), (3.2136, 8.8311), (1.6727, 6.4672), (-0.5998, 2.8680), (-4.2422, 3.3077), 
(0.7251, 3.6887), (1.8867, 8.9966), (1.0915, 3.4509), (3.4377, 6.4268), (2.7492, 6.1728), (1.5229, 6.9893), (0.1215, 6.8010), (1.7282, 1.5514), (-2.3103, -2.7588), (-3.9611, 2.0119), 
(1.4503, 0.6231), (1.7408, 0.5256), (0.9431, -1.3954), (3.0945, -0.8225), (0.7587, 1.3425), (2.5351, 2.4191), (0.5645, 0.8102), (-2.4015, -1.0458), (-3.0607, -0.9910), (-4.2221, -4.5847), 
(-0.2165, -0.7792), (-0.2319, -2.9911), (0.8262, -1.3213), (2.7194, -3.1197), (1.2363, 3.5199), (1.5455, -1.0807), (-2.1565, -3.2467), (-1.5865, -5.1414), (-3.5218, -8.3349), (-4.6837, -4.9122), 
(0.1267, -5.4601), (0.3351, -2.9080), (0.3359, -0.5431), (1.7536, -3.4281), (1.0349, -1.9536), (-1.1257, -5.0307), (-0.6777, -7.8028), (-0.8606, -6.8985), (-2.5728, -6.5524), (-4.3968, -8.5361), 
(-0.6823, -2.6141), (-0.9317, -3.1446), (-0.4049, 0.7635), (1.8590, -2.3569), (-0.3939, -2.2420), (0.5715, -3.1583), (0.7608, -6.8766), (0.6640, -8.4730), (-2.2334, -2.0966), (-3.6929, -9.3478), 
(1.9994, -5.7522), (0.9170, -1.5114), (1.4156, -5.4051), (2.5818, 0.0217), (1.9060, -2.4118), (1.7046, -5.9620), (-1.2943, -4.4255), (-0.3226, -8.6373), (-1.6997, -7.8153), (-3.4496, -4.3397), 
(-1.0112, -5.1409), (1.9443, -0.6041), (0.0517, -0.6043), (2.4730, -2.9282), (1.0517, 0.1319), (-0.2711, -1.6222), (1.9912, -5.7509), (-1.2683, -3.3233), (-2.4485, -6.9417), (-2.2110, -5.3168), 
